时间,值_x,值_y
2024-05-27 11:00:55,424.056244,13.3056641
2024-05-27 11:00:50,427.294922,13.2873535
2024-05-27 11:00:45,425.0795,13.2385254
2024-05-27 11:00:40,421.42215,13.269043
2024-05-27 11:00:35,423.918274,13.2659912
2024-05-27 11:00:30,427.4392,13.2629395
2024-05-27 11:00:25,428.724548,13.2720947
2024-05-27 11:00:20,425.024017,13.2415771
2024-05-27 11:00:15,428.600525,13.2476807
2024-05-27 11:00:10,423.1875,13.2354736
2024-05-27 11:00:05,426.1916,13.21106
2024-05-27 11:00:00,430.131073,13.2446289
2024-05-27 10:59:55,430.6099,13.2232666
2024-05-27 10:59:50,429.589844,13.2202148
2024-05-27 10:59:45,426.885864,13.2049561
2024-05-27 10:59:40,427.479675,13.1988525
2024-05-27 10:59:35,426.102661,13.2049561
2024-05-27 10:59:30,426.312622,13.192749
2024-05-27 10:59:25,429.681061,13.2080078
2024-05-27 10:59:20,428.212463,13.1561279
2024-05-27 10:59:15,425.985931,13.1561279
2024-05-27 10:59:10,428.6745,13.1652832
2024-05-27 10:59:05,431.598083,13.1195068
2024-05-27 10:59:00,431.38385,13.1439209
2024-05-27 10:58:55,430.2413,13.1195068
2024-05-27 10:58:50,428.8914,13.1225586
2024-05-27 10:58:45,429.3094,13.104248
2024-05-27 10:58:40,427.5795,13.1073
2024-05-27 10:58:35,431.769043,13.05542
2024-05-27 10:58:30,437.07428,13.05542
2024-05-27 10:58:25,433.038574,13.079834
2024-05-27 10:58:20,429.1054,13.0340576
2024-05-27 10:58:15,435.33606,13.0004883
2024-05-27 10:58:10,437.1259,13.0279541
2024-05-27 10:58:05,436.2825,13.0157471
2024-05-27 10:58:00,432.3656,12.9974365
2024-05-27 10:57:55,431.444733,12.9943848
2024-05-27 10:57:50,432.079376,13.00354
2024-05-27 10:57:45,432.503418,13.00354
2024-05-27 10:57:40,432.943817,13.0004883
2024-05-27 10:57:35,435.9411,12.9852295
2024-05-27 10:57:30,434.405273,12.9577637
2024-05-27 10:57:25,435.026947,12.95166
2024-05-27 10:57:20,434.058,12.95166
2024-05-27 10:57:15,434.7978,12.93335
2024-05-27 10:57:10,430.008728,12.9547119
2024-05-27 10:57:05,431.775452,12.93335
2024-05-27 10:57:00,434.093567,12.9241943
2024-05-27 10:56:55,430.874817,12.9150391
2024-05-27 10:56:50,428.234619,12.88147
2024-05-27 10:56:45,428.4532,12.8845215
2024-05-27 10:56:40,431.711517,12.88147
2024-05-27 10:56:35,434.1903,12.8601074
2024-05-27 10:56:30,428.971771,12.8570557
2024-05-27 10:56:25,432.3214,12.8356934
2024-05-27 10:56:20,431.624634,12.8845215
2024-05-27 10:56:15,431.189362,12.8173828
